accel_x,accel_y,accel_z,encoder_a,encoder_b
0.15,7.41,-6.70,3850,13628
9.55,0.48,-3.26,614,11559
5.07,4.05,7.51,13471,10311
-6.79,6.45,2.49,10118,8327
-9.49,-1.06,0.76,7550,5344
-2.99,0.19,9.16,4736,3202
7.11,5.68,4.25,1847,859
10.04,-0.69,0.55,15887,13993
5.78,1.08,7.98,13652,11162
-3.32,8.63,3.17,11221,8226
-9.27,1.67,-2.19,8761,5040
-7.57,1.92,5.53,6306,2341
0.22,9.76,1.65,3911,15999
8.02,3.24,-5.26,1553,12767
9.59,1.84,2.47,15331,10102
0.77,9.70,1.88,12280,7820
-7.95,3.35,-4.59,9557,4872
-9.02,1.07,2.99,7101,2222
-1.68,9.24,2.88,4358,16328
8.86,4.56,-1.87,1091,14468
8.02,-1.06,5.82,14492,12040
-3.53,4.34,7.90,11146,10180
-9.41,-1.47,-1.16,7537,9105
0.50,-8.95,-3.81,3944,8382
9.98,-0.84,-1.19,308,9169
3.42,2.58,8.87,12928,10886
-8.02,-1.50,4.93,9260,12393
-7.54,4.57,-4.22,6002,13870
3.08,9.43,1.00,2936,16109
10.07,-0.08,-0.55,15887,1404
0.36,-4.81,-8.59,11993,2013
-9.42,-0.31,-2.00,8348,3241
-3.47,-4.04,7.96,4826,4655
8.29,-3.96,3.80,1375,5559
6.34,6.65,-4.21,13818,5954
-6.82,6.54,-2.47,9848,6654
-7.78,-5.53,0.44,6210,7156
4.39,-8.73,0.51,2658,7221
9.58,3.16,0.62,15210,8168
-3.04,8.94,2.58,11125,8182
-9.41,-1.75,-0.61,7361,8192
0.45,-9.21,-3.09,3789,8206
10.01,-0.85,-0.75,60,8562
4.67,3.85,7.84,13187,10660
-7.93,-1.15,5.17,9475,12131
-7.37,3.72,-5.27,6087,13222
2.37,9.61,-1.23,3201,15534
9.60,1.87,2.44,560,2147
8.25,3.20,-4.92,14551,4975
-1.44,9.76,-0.32,11712,7557
-7.96,2.02,4.93,9596,10729
-9.59,-0.32,0.05,8094,14312
-8.14,4.03,3.17,6573,1225
-5.04,-4.17,6.95,5469,4901
-0.18,-9.58,-1.44,4075,8041
5.67,-1.52,-8.11,2355,11222
10.01,1.18,-0.54,64,14587
6.52,-6.29,-4.03,13881,875
-0.52,1.76,-9.78,11981,4057
-8.27,4.97,-0.88,9424,7271
-9.25,-1.46,-2.19,7283,10209
-3.93,4.10,-8.12,5001,12996
2.77,9.11,2.80,3227,303
8.18,0.12,5.74,1583,3652
10.10,0.09,-0.09,16281,6904
8.07,3.46,4.87,14587,10461
7.41,-5.12,4.10,14313,14266
4.92,-6.61,-5.45,13443,1311
2.74,4.86,-8.35,12916,5042
1.51,8.26,5.21,12633,9289
4.50,-3.46,8.00,13431,12972
8.39,-5.32,-0.69,14810,16178
9.93,0.72,1.63,522,3055
3.75,-6.76,5.93,3216,5810
-6.35,-7.13,-0.87,6035,7917
-8.79,2.75,2.72,9409,9751
1.98,1.15,9.49,12922,11539
9.99,0.49,-1.42,446,11892
1.16,5.39,-8.37,3883,13249
-8.72,4.07,-0.81,7033,15469
-6.36,-6.70,-2.62,10367,460
5.32,-3.92,-7.44,13769,2279
9.37,-0.37,3.55,1042,4094
0.24,-8.05,5.31,4145,6126
-8.54,-4.24,-1.03,6949,8253
-7.18,3.19,5.51,10152,10540
4.48,-2.01,8.50,13540,12503
9.79,1.98,-1.72,864,13948
0.56,9.90,-0.83,4162,15878
-8.94,2.61,2.29,7337,1491
-7.04,-1.13,-6.65,10288,3330
4.38,5.24,-7.40,13663,5349
9.93,-1.54,-0.03,660,7591
2.18,-7.50,-5.96,3703,9531
-7.25,0.27,-6.53,6393,12086
-9.04,-2.82,1.18,9043,14904
-2.80,-8.18,-4.38,11634,1015
5.13,0.41,-8.62,13906,3917
9.73,-1.97,1.48,969,6203
1.40,-9.55,-1.03,4010,8082
-9.12,-2.73,-1.22,7542,8896
-5.22,3.01,7.51,10913,10995
6.34,-3.30,6.83,14131,13200
9.16,3.68,-2.33,1240,14457
-2.59,9.30,-2.08,4908,15391
-9.53,-1.02,-0.27,8507,112
-0.77,-9.43,-2.04,12263,90
9.97,-1.28,-0.78,16149,687
2.85,6.87,6.52,3571,1709
-8.79,2.37,3.01,7247,1903
-5.09,-5.57,-6.12,10963,1729
7.87,-2.80,-5.57,14772,2448
7.79,-0.98,6.13,1980,4265
-3.40,-6.62,6.01,5208,5928
-9.52,1.37,-0.58,8674,7008
-0.58,9.57,2.23,12263,8470
10.04,1.01,0.24,16253,9343
2.77,-7.56,-5.64,3644,9362
-8.70,-3.24,-2.50,7245,9468
-5.25,3.47,7.28,10945,10733
8.04,1.57,5.73,14858,11336
6.96,0.27,-7.26,2244,11890
-5.22,3.96,-7.38,5658,13219
-9.18,-2.51,0.68,8912,15285
-0.50,-9.13,-3.24,12147,521
9.52,-1.27,-3.06,15549,2503
4.49,0.26,8.77,2995,3685
-7.38,-0.93,5.97,6575,4068
-7.17,0.77,-6.59,10266,4031
6.27,0.71,-7.83,14226,3838
8.24,0.61,5.62,1782,3564
-3.86,-1.94,8.56,5338,4291
-9.29,0.81,-2.50,8949,4657
1.01,5.20,-8.50,12673,5168
10.08,0.17,-0.11,114,6819
1.90,-9.45,1.04,3749,7508
-8.63,-3.80,-1.81,7048,8945
-5.82,5.15,5.70,10764,10024
7.83,3.40,5.23,14777,10557
7.14,-3.10,-6.29,2211,10566
-5.74,-3.81,-6.89,5877,10565
-8.45,2.20,3.92,9536,10544
2.91,6.36,6.96,13117,9923
10.05,-0.80,-0.04,370,7334
5.11,-3.41,7.67,2796,4746
-2.53,6.06,7.16,4762,1807
-6.86,5.79,-3.93,6059,14388
-9.57,-0.31,-0.78,7924,11026
-7.89,5.53,0.81,9903,7831
-3.38,2.52,-8.96,11510,4033
3.75,-7.80,-4.64,13401,681
8.45,-4.04,3.36,14887,13883
9.95,-0.24,-1.70,578,10500
6.42,-7.46,0.52,2552,7280
-1.97,-4.07,8.48,4806,4557
-8.36,3.25,3.44,6878,1423
-8.61,-3.87,1.38,9363,14769
-2.55,-1.31,9.19,11600,12016
4.13,7.94,4.34,13490,8720
8.52,3.30,-4.38,15025,4855
9.98,-0.81,-1.21,15956,1141
9.27,3.59,-1.97,1047,14230
5.37,-2.62,-8.01,2799,10575
-1.85,-9.45,-0.42,4788,7530
-7.73,-2.58,4.93,6606,4519
-9.49,1.20,0.80,7706,805
-9.56,-0.50,0.33,8239,13482
-9.51,-0.93,-1.02,7756,9569
-9.01,-2.68,1.62,7249,5869
-8.83,1.46,3.35,7045,2099
-8.07,5.15,-1.70,6504,14730
-4.86,-1.52,-8.39,5251,10960
1.93,-9.46,-1.21,3588,7639
7.14,-3.09,6.14,1957,4539
9.97,1.41,0.86,186,1119
8.39,-4.54,2.82,14621,14179
0.87,0.73,9.68,12291,11381
-6.22,7.27,1.71,10315,8017
-9.45,-1.12,0.98,7572,5285
-4.26,1.22,8.54,5007,2934
5.87,7.05,3.99,2159,629
9.71,-2.38,0.92,15283,14666
-0.14,-4.71,8.43,11892,12841
-8.86,1.03,3.43,8912,10662
-6.47,-6.72,-2.34,5827,8211
4.31,-7.98,3.62,2841,6267
9.94,1.02,-1.55,15754,4514
0.94,-3.91,-9.02,12313,2218
-9.09,-2.43,-1.95,8781,1093
-4.48,6.80,5.27,5168,1049
7.36,6.82,0.94,1629,16082
7.47,-6.38,1.20,14091,15206
-5.70,-7.65,0.83,10293,15424
-9.04,2.76,1.74,6994,903
-0.30,0.57,9.69,4060,3420
8.30,-4.28,3.42,1492,5900
9.51,3.26,1.12,15360,8715
0.71,1.18,9.65,12258,11415
-8.46,-2.83,3.33,9227,13447
-7.82,5.75,-0.29,6351,15686
2.15,6.39,7.20,3332,1754
9.97,0.23,1.47,208,3718
5.17,6.63,-5.61,13532,5838
-6.64,7.00,1.11,10162,8122
-9.39,-0.92,-1.89,7463,10644
-4.55,5.27,-7.03,5198,13459
4.69,8.54,2.19,2691,190
9.99,0.67,1.23,237,2944
5.90,5.40,-6.17,13836,5385
-5.02,8.24,1.45,10673,8286
-9.24,0.40,2.41,8667,11348
-8.18,3.94,-3.57,6422,14266
0.31,9.17,3.64,3744,707
7.94,0.51,6.03,1537,3727
10.05,1.06,-0.50,15973,6807
6.86,4.61,5.63,14003,10304
1.31,-6.00,7.49,12429,13761
-0.30,-8.78,-4.21,12069,824
0.73,2.66,-9.60,12479,4506
2.15,9.22,2.94,12882,8752
5.31,-1.40,8.19,13709,12487
8.70,-4.83,0.71,15084,15722
9.80,1.38,1.95,684,2701
8.06,-4.76,3.33,1679,6397
8.06,-3.98,-4.38,1663,9977
8.65,3.44,-3.97,1264,13865
9.84,2.01,0.98,389,1332
9.52,1.33,-3.18,15350,4687
4.48,8.96,0.52,13371,8164
0.88,1.50,9.60,12373,11835
-0.93,-9.38,2.05,11851,15542
-4.48,-4.21,-7.60,10877,2518
-7.25,5.18,-4.03,9938,6424
-9.28,1.63,1.78,8692,10185
-9.57,-0.38,0.25,8092,13867
-9.31,2.16,1.04,7320,1052
-8.18,-2.14,4.39,6686,5048
-7.73,-5.54,-1.32,6522,8533
-9.51,-0.14,-1.53,7779,12035
-5.96,-6.74,3.15,10510,14971
3.94,-8.14,-3.86,13352,854
10.08,0.57,0.38,310,2808
2.26,-3.03,8.98,3729,4754
-8.17,-3.95,2.89,6900,6194
-7.55,6.12,0.09,10110,8031
5.85,7.85,2.15,14085,8680
8.75,-3.77,-3.05,1510,9431
-3.44,-7.44,-5.20,5185,9411
-9.34,1.84,1.21,8848,9413
1.15,8.33,5.15,12658,9349
10.09,0.36,-0.20,197,8320
1.74,-9.53,-0.72,3909,7996
-9.05,-3.08,0.16,7470,7535
-4.69,8.07,-3.12,11139,6920
8.85,4.53,-1.92,15254,6827
5.68,-7.43,2.98,2727,6833
-6.47,-5.13,4.74,6132,5773
-8.93,-0.24,-3.71,9187,3586
0.31,-7.99,-5.62,12331,1166
9.65,-2.68,0.29,15565,15661
6.69,3.77,-6.55,2183,13169
-3.44,-3.57,-8.47,5179,10750
-9.59,-0.10,-0.11,8241,9052
-4.53,8.13,-3.25,11128,6743
7.37,2.00,-6.61,14517,4352
9.46,2.21,2.70,935,2126
3.94,9.14,-1.23,3018,15581
-4.23,1.33,-8.82,5304,12021
-9.35,-1.73,-1.28,7585,9343
-8.28,4.33,-2.65,9648,6192
-2.12,-3.13,-9.09,11741,2595
4.89,-8.46,-0.57,13641,15821
8.97,-1.42,4.18,15148,12548
9.55,3.07,1.25,15473,8716
8.46,3.14,-4.60,14844,4791
5.23,-6.56,-5.27,13509,972
1.95,-7.75,5.47,12473,14089
-3.61,2.74,8.51,11076,10792
-7.78,5.73,-1.09,9675,7012
-9.60,-0.13,-0.01,7918,3574
-6.67,6.08,3.47,5826,762
2.13,8.65,-4.58,3198,14353
9.77,0.62,-2.54,286,11786
5.94,5.25,6.03,13574,9835
-6.85,6.50,2.20,9889,8375
-8.05,-4.92,1.37,6399,6838
3.23,-6.68,6.28,3059,5637
10.07,0.28,0.62,16320,3544
4.52,-7.29,-4.84,13189,827
-5.23,-7.48,2.82,10498,14765
-9.35,-0.16,1.99,8567,11622
-8.57,-4.18,-1.04,6850,8039
-5.33,-4.27,6.66,5529,4734
-1.41,6.56,7.10,4332,1378
5.82,7.52,-3.36,2232,14504
10.07,0.37,0.58,15933,11715
3.04,6.57,6.75,12872,9618
-7.75,5.84,-0.57,9626,7277
-8.32,-2.80,3.69,6651,5003
0.73,1.70,9.58,3790,2977
8.71,4.91,1.46,1157,149
7.96,-4.83,3.46,14376,14117
-3.48,-3.24,8.31,10912,12635
-9.38,-0.18,-2.18,7263,11562
0.90,-2.75,-9.47,3613,10870
10.08,0.29,-0.58,16193,10884
0.92,1.63,9.58,12212,11294
-9.41,0.17,1.70,8391,11274
-3.06,-3.83,-8.50,4749,10463
8.80,-2.54,-4.12,1143,9963
5.36,5.55,6.30,13555,9869
-7.87,3.49,4.23,9595,9869
-6.69,-4.39,-5.47,5958,9877
5.07,-3.87,-7.65,2497,10479
9.62,-0.14,2.89,15275,12225
-2.17,-4.46,8.22,11366,12995
-9.59,0.33,-0.53,7754,13784
-1.37,8.59,-4.84,4230,14529
9.67,2.93,-0.52,484,15382
3.54,-9.07,-0.87,12958,16020
-8.53,-4.21,-1.17,9165,86
-5.61,7.71,1.94,5511,77
7.36,6.62,1.85,1797,186
7.73,-5.92,-1.99,14218,180
-5.63,-7.39,-2.52,10338,271
-8.86,2.04,3.01,6912,2027
-1.11,-4.45,8.48,4326,4881
6.10,-7.74,-0.29,2362,7730
9.96,-0.13,-1.65,299,10916
6.85,-5.09,4.93,13880,14089
-2.78,-9.03,-1.99,11183,184
-9.16,-0.97,-2.88,8703,2982
-8.11,-4.18,2.75,6524,6191
-0.35,-9.04,-3.54,4103,8716
6.62,-0.53,-7.53,2024,11801
9.63,3.01,-0.66,546,15676
10.06,0.12,-0.68,15984,2895
8.24,4.92,-3.27,14638,6435
5.46,5.18,6.51,13647,10422
1.53,-6.48,7.02,12454,14006
-3.85,-8.15,-3.51,11045,778
-7.46,1.02,-6.22,9841,4329
-8.92,3.59,0.50,9023,8366
-8.73,-1.34,-3.95,6839,11129
-4.68,6.70,-5.54,5146,14494
-0.04,6.61,7.22,3972,2080
4.13,-5.31,7.11,3010,5614
4.42,-7.91,-3.81,2940,9100
4.11,2.59,-8.79,2934,12854
3.91,8.77,2.72,3022,702
3.38,-2.11,8.94,3215,4573
5.26,-8.28,-0.36,2637,8039
6.54,-1.13,-7.51,2171,11604
7.41,6.73,-1.35,1817,15720
7.61,1.88,6.21,1874,3259
6.84,-6.43,3.06,2178,6930
6.09,-4.72,-6.30,2400,10419
6.24,5.94,-5.27,2283,14418
6.21,5.38,5.67,2329,2137
3.88,-5.71,6.89,3129,5821
-0.87,-9.01,-3.50,4451,8943
-6.37,0.29,-7.44,5954,12283
-9.32,2.40,-0.29,7480,16058
-8.09,-2.81,-4.48,9671,2489
2.86,0.26,-9.57,13109,3902
10.00,-0.48,1.10,608,5353
0.75,-7.27,6.32,4161,6072
-9.26,-2.31,0.56,7671,7145
-3.63,8.74,-2.81,11481,7143
9.18,3.93,-1.70,15455,6853
6.21,-4.38,6.30,2537,5362
-3.21,3.09,8.57,5022,2809
-9.02,3.46,-0.23,7190,15887
-9.32,-0.48,2.04,8720,12357
-6.71,6.12,3.32,10298,9138
1.07,7.58,-6.44,12604,5969
8.95,-0.98,-4.53,15230,2921
8.28,5.33,2.19,1605,669
1.36,6.92,-7.14,3758,13770
-4.63,-5.10,-6.88,5414,10115
-8.64,-3.95,0.94,7048,6993
-9.47,-0.21,-1.75,8571,3477
-8.61,-4.14,-0.30,9216,16058
